Batch,Section,Key,English,Placeholders,Context,Spanish (es)
1,Onb,onbFinishReady,You're ready! 🌿,,,
1,Home,homeFriendFallback,friend,,,
1,Home,homeGreetingFirst,"Hi {name},",{name},,
1,Home,homeGreetingReturning,"Welcome back, {name}.",{name},,
1,Home,homeTagline,Every day forward is a win.,,,
1,Home,homeErrorPrefix,Error: {message},{message},,
1,Home,homeDaysSober,DAYS SOBER,,,
1,Home,homeDaysLabel,days,,,
1,Home,homeSerenityTagline,"A clearer mind.
A stronger you.",,,
1,Home,homeMoneyReclaimed,"MONEY
RECLAIMED",,,
1,Home,homeMoneyAllTime,All time,,,
1,Home,homeMoneyInvesting,"You're investing in
your future self.",,,
1,Home,homeMoneyGoalSavedOf,{saved} saved of {goal} goal,"{saved}, {goal}",,
1,Home,homeMoneyGoalPercent,{percent}% complete,{percent},,
1,Home,homeMoneyGoalClear,Clear goal,,,
1,Home,homeMyReasonTitle,My Reason,,,
1,Home,homeMyReasonRotates,rotates daily,,,
1,Home,homeMyReasonAddPrompt,"Add your reasons
in Profile",,,
1,Home,homeYourJourney,YOUR JOURNEY,,,
1,Home,homeJourneySubtitle,Milestones are ahead. Keep going.,,,
1,Home,homeMilestoneNode0Label,First hours,,,
1,Home,homeMilestoneNode1Label,Clear morning,,,
1,Home,homeMilestoneNode2Label,Energy returns,,,
1,Home,homeMilestoneNode3Label,Mind healing,,,
1,Home,homeMilestoneNode4Label,A new chapter,,,
1,Home,homeMilestoneTimingDone,done,,,
1,Home,homeDailyPledge,DAILY PLEDGE,,,
1,Home,homePledgeHint,"e.g., Today I choose clarity.",,,
1,Home,homePledgeCalmDays,{count} calm days kept,{count},,
1,Home,homeDailyGratitude,DAILY GRATITUDE,,,
1,Home,homeGratitudeLoggedToday,Logged today,,,
1,Home,homeWeeklyGoals,Weekly Goals,,,
1,Home,homeDailyMissions,TODAY'S STEPS,,,
1,Home,homeMissionsSubtitle,Small acts of care for today.,,,
1,Home,homeMissionsProgress,{done} of {total} complete,"{done}, {total}",,
1,Home,homeDailyCheckIn,DAILY CHECK-IN,,,
1,Home,homeCheckInCraving,Craving,,,
1,Home,homeCheckInThought,Thought,,,
1,Home,homeCheckInActivity,Activity,,,
1,Home,homeCheckInSleep,Sleep,,,
1,Home,homeQuittingTimeline,QUITTING TIMELINE,,,
1,Home,homeRecoveryBannerSub0,See what's happening in your body,,,
1,Home,homeRecoveryBannerSub1,Your body is already healing,,,
1,Home,homeRecoveryBannerSub2,Your brain chemistry is shifting,,,
1,Home,homeRecoveryBannerSub4,You are building real momentum,,,
1,Home,homeEditProfile,Edit Profile,,,
1,Home,homeProfileNameLabel,Name,,,
1,Home,homeProfileNameHint,Your name,,,
1,Home,homeSoberSince,Sober since,,,
1,Home,homeProfileDailySpend,Daily spend,,,
1,Home,homeProfileSpendHint,0,,,
1,Home,homeCravingSheetTitle,Log a craving,,,
1,Home,homeCravingStrengthQuestion,How strong was the craving?,,,
1,Home,homeCravingIntensityLabel,Intensity,,,
1,Home,homeCravingIntensityValue,{value} / 10,{value},,
1,Home,homeCravingTriggerQuestion,What triggered it?,,,
1,Home,homeCravingDurationQuestion,How long did it last?,,,
1,Home,homeCravingDurationValue,{minutes} minutes,{minutes},,
1,Home,homeSaveCraving,Save craving,,,
1,Home,homeThoughtSheetTitle,Log a thought,,,
1,Home,homeThoughtWhatQuestion,What was the thought?,,,
1,Home,homeThoughtStrengthQuestion,How strong was the thought?,,,
1,Home,homeThoughtTriggerQuestion,What triggered the thought?,,,
1,Home,homeThoughtDurationQuestion,How long did it last?,,,
1,Home,homeThoughtToneLabel,Tone,,,
1,Home,homeSaveThought,Save thought,,,
1,Home,homeActivitySheetTitle,Log activity,,,
1,Home,homeActivityTypeQuestion,What did you do?,,,
1,Home,homeActivityTypeWalk,Walk,,,
1,Home,homeActivityTypeExercise,Exercise,,,
1,Home,homeActivityTypeYoga,Yoga,,,
1,Home,homeActivityTypeOther,Other,,,
1,Home,homeActivityEffortQuestion,How much effort did it take?,,,
1,Home,homeActivityOutcomeQuestion,How did you feel after?,,,
1,Home,homeActivityDurationLabel,Duration,,,
1,Home,homeActivityDurationValue,{minutes} min,{minutes},,
1,Home,homeSaveActivity,Save activity,,,
1,Home,homeSleepSheetTitle,Log sleep,,,
1,Home,homeSleepHoursLabel,Hours slept,,,
1,Home,homeSleepHoursValue,{hours} hrs,{hours},,
1,Home,homeSleepQualityLabel,Sleep quality,,,
1,Home,homeSleepFactorsQuestion,What affected your sleep?,,,
1,Home,homeSaveSleep,Save sleep,,,
1,Home,homeSeverityBrief,Brief,,,
1,Home,homeSeverityMild,Mild,,,
1,Home,homeSeverityModerate,Moderate,,,
1,Home,homeSeverityStrong,Strong,,,
1,Home,homeSeverityConsuming,Consuming,,,
1,Home,homeTriggerStress,Stress,,,
1,Home,homeTriggerSocial,Social,,,
1,Home,homeTriggerBoredom,Boredom,,,
1,Home,homeTriggerTimeOfDay,Time of day,,,
1,Home,homeTriggerCelebration,Celebration,,,
1,Home,homeTriggerSadness,Sadness,,,
1,Home,homeTriggerLocation,Location,,,
1,Home,homeTriggerMemory,Memory,,,
1,Home,homeTriggerHungry,Hungry,,,
1,Home,homeTriggerAngry,Angry,,,
1,Home,homeTriggerTired,Tired,,,
1,Home,homeEffortGentle,Light,,,
1,Home,homeEffortModerate,Moderate,,,
1,Home,homeEffortStrong,Strong,,,
1,Home,homeOutcomeCalmer,Calmer,,,
1,Home,homeOutcomeClearer,Clearer,,,
1,Home,homeOutcomeEnergized,Energized,,,
1,Home,homeOutcomeSame,Same,,,
1,Home,homeSleepQualityPoor,Poor,,,
1,Home,homeSleepQualityFair,Fair,,,
1,Home,homeSleepQualityOK,OK,,,
1,Home,homeSleepQualityGood,Good,,,
1,Home,homeSleepQualityGreat,Great,,,
1,Home,homeSleepFactorRestless,Restless,,,
1,Home,homeSleepFactorWokeOften,Woke often,,,
1,Home,homeSleepFactorDreams,Dreams,,,
1,Home,homeSleepFactorStress,Stress,,,
1,Home,homeSleepFactorCravings,Cravings,,,
1,Home,homeSleepFactorLateCaffeine,Late caffeine,,,
1,Home,homeToneNegative,Negative,,,
1,Home,homeToneNeutral,Neutral,,,
1,Home,homeTonePositive,Positive,,,
1,Home,homeQuote2,Healing is allowed to be quiet.,,,
1,Home,homeQuote8,Strength can look like softness.,,,
1,Home,homeQuote15,Small choices become a safer life.,,,
1,Home,homeQuote19,Recovery is a return to yourself.,,,
1,Home,homeQuote26,The quiet work counts.,,,
1,Home,homeQuote33,There is strength in staying.,,,
1,Home,homeQuote35,You are allowed to need support.,,,
1,Home,homeQuote44,Your peace is worth protecting.,,,
1,Home,homeQuote49,Keep going. Every step still counts.,,,
1,Home,homeMission1,Take a 10-minute walk outside.,,,
1,Home,homeMission4,Do five minutes of slow breathing.,,,
1,Home,homeMission6,Eat one nourishing meal without distractions.,,,
1,Home,homeMission7,"Prepare for an earlier, softer night.",,,
1,Home,homeMission9,Sit in silence for three minutes.,,,
1,Home,homeMission12,"Stretch your shoulders, neck, and back.",,,
1,Home,homeMission13,Listen to music that steadies you.,,,
1,Home,homeMission15,Step outside and notice the sky.,,,
1,Home,homeMission17,Make yourself something warm to drink.,,,
1,Home,homeMission18,Reach out to your support network.,,,
1,Home,homeMission24,Wash your face slowly and mindfully.,,,
1,Home,homeMission25,Spend 10 minutes away from screens.,,,
1,Home,homeMission26,Prepare tomorrow's first small task.,,,
1,Home,homeMission28,Notice one thing your body needs.,,,
1,Home,homeMission30,Read one recovery note or affirmation.,,,
1,Home,homeMission33,Take a warm shower or bath.,,,
1,Home,homeMission35,Name the emotion underneath the urge.,,,
1,Home,homeMission36,Do one thing slowly on purpose.,,,
1,Home,homeMission37,Put clean water beside your bed.,,,
1,Home,homeMission40,Spend five minutes in natural light.,,,
1,Home,homeMission41,Make your bed with care.,,,
1,Home,homeMission42,Delete or mute one digital trigger.,,,
1,Home,homeMission43,Choose rest before exhaustion.,,,
1,Home,homeMission46,Thank yourself for staying present.,,,
1,Home,homeMission49,Let yourself pause before reacting.,,,
1,Home,homeMission56,Take a short walk without headphones.,,,
1,Home,homeMission59,Remind yourself: small steps still count.,,,
1,Journal,journalTitle,My Journal,,,
1,Journal,journalTabJournal,Journal,,,
1,Journal,journalTabAffirm,Affirm,,,
1,Journal,journalTabVision,Vision,,,
1,Journal,journalTabZen,Zen,,,
1,Journal,journalAffirm1,I choose recovery every single day.,,,
1,Journal,journalAffirm4,"I deserve peace, health, and happiness.",,,
1,Journal,journalAffirm7,Today I choose myself.,,,
1,Journal,journalAffirm10,My sobriety is my greatest achievement.,,,
1,Journal,journalAffirm12,I am capable of change.,,,
1,Journal,journalAffirm13,Every sober day is a victory.,,,
1,Zen,zenQuoteAuthor0,Thich Nhat Hanh,,,
1,Zen,zenQuoteAuthor1,Dan Millman,,,
1,Zen,zenQuoteAuthor2,Mahatma Gandhi,,,
1,Zen,zenQuoteAuthor3,Anonymous,,,
1,Zen,zenQuoteAuthor4,Anonymous,,,
1,Zen,zenQuoteAuthor5,Rumi,,,
1,Zen,zenQuoteAuthor6,Meghan Markle,,,
1,Zen,zenQuote7,Healing is not linear.,,,
1,Zen,zenQuoteAuthor7,Anonymous,,,
1,Zen,zenQuoteAuthor8,Ralph Waldo Emerson,,,
1,Zen,zenQuoteAuthor9,Mel Robbins,,,
1,Zen,zenQuoteAuthor10,Confucius,,,
1,Zen,zenQuoteAuthor11,Atticus,,,
1,Zen,zenQuoteAuthor12,Ida Scott Taylor,,,
1,Zen,zenQuoteAuthor13,J.K. Rowling,,,
1,Zen,zenQuoteAuthor14,Max Ehrmann,,,
1,Zen,zenQuoteAuthor15,Albert Einstein,,,
1,Zen,zenQuoteAuthor16,Nido Qubein,,,
1,Zen,zenQuoteAuthor17,Mark Twain,,,
1,Zen,zenQuoteAuthor18,A.A. Milne,,,
1,Zen,zenQuoteAuthor19,Sam Levenson,,,
1,Zen,zenQuoteAuthor20,Roy T. Bennett,,,
1,Zen,zenQuoteAuthor21,Lao Tzu,,,
1,Zen,zenQuoteAuthor22,C.S. Lewis,,,
1,Zen,zenQuoteAuthor23,Mahatma Gandhi,,,
1,Zen,zenQuote24,Every moment is a fresh beginning.,,,
1,Zen,zenQuoteAuthor24,T.S. Eliot,,,
1,Zen,zenQuoteAuthor25,Proverb,,,
1,Zen,zenQuoteAuthor26,Mary Anne Radmacher,,,
1,Zen,zenQuote27,The only way out is through.,,,
1,Zen,zenQuoteAuthor27,Robert Frost,,,
1,Zen,zenQuoteAuthor28,Anonymous,,,
1,Zen,zenQuote29,"Progress, not perfection.",,,
1,Zen,zenQuoteAuthor29,Anonymous,,,
1,Progress,progressTitle,Progress,,,
1,Progress,progressDaysChip,{days} days,{days},,
1,Progress,progressTabJourney,Journey,,,
1,Progress,progressTabInsights,Insights,,,
1,Progress,progressMilestoneLabel1,First Day,,,
1,Progress,progressMilestoneLabel2,Two Days,,,
1,Progress,progressMilestoneLabel3,Three Days,,,
1,Progress,progressMilestoneLabel5,Five Days,,,
1,Progress,progressMilestoneLabel7,One Week,,,
1,Progress,progressMilestoneLabel10,Ten Days,,,
1,Progress,progressMilestoneLabel14,Two Weeks,,,
1,Progress,progressMilestoneLabel21,Three Weeks,,,
1,Progress,progressMilestoneLabel30,One Month,,,
1,Progress,progressMilestoneLabel60,Two Months,,,
1,Progress,progressMilestoneLabel90,Three Months,,,
1,Progress,progressMilestoneLabel100,100 Days,,,
1,Progress,progressMilestoneLabel180,Six Months,,,
1,Progress,progressMilestoneLabel365,One Year,,,
1,Progress,progressMilestoneLabel730,Two Years,,,
1,Progress,progressMilestoneLabel1095,Three Years,,,
1,Insights,insightsTitle,Insights,,,
1,Insights7,insights7DayView,7-day view,,,
1,Milestone,milestoneScreenTitle,Milestones,,,
1,Milestone,milestoneOneDay,One Day,,,
1,Milestone,milestoneOneDayShort,1 Day,,,
1,Milestone,milestoneThreeDays,Three Days,,,
1,Milestone,milestoneThreeDaysShort,3 Days,,,
1,Milestone,milestoneOneWeek,One Week,,,
1,Milestone,milestoneOneWeekShort,1 Week,,,
1,Milestone,milestoneTwoWeeks,Two Weeks,,,
1,Milestone,milestoneTwoWeeksShort,2 Weeks,,,
1,Milestone,milestoneOneMonth,One Month,,,
1,Milestone,milestoneOneMonthShort,1 Month,,,
1,Milestone,milestoneTwoMonths,Two Months,,,
1,Milestone,milestoneTwoMonthsShort,2 Months,,,
1,Milestone,milestoneThreeMonths,Three Months,,,
1,Milestone,milestoneThreeMonthsShort,3 Months,,,
1,Milestone,milestoneSixMonths,Six Months,,,
1,Milestone,milestoneSixMonthsShort,6 Months,,,
1,Milestone,milestoneOneYear,One Year,,,
1,Milestone,milestoneOneYearShort,1 Year,,,
1,Recovery,recoveryTitle,The Healing Timeline,,,
1,Recovery,recoveryHeroLabel,YOUR BODY TODAY,,,
1,Recovery,recoveryMilestonesReached,{achieved} of {total} milestones reached,"{achieved}, {total}",,
1,Recovery,recoveryM1Label,12 Hours,,,
1,Recovery,recoveryM1Title,The Reset Begins,,,
1,Recovery,recoveryM1System,Total Body,,,
1,Recovery,recoveryM2Label,24 Hours,,,
1,Recovery,recoveryM2Title,Restoring Rhythm,,,
1,Recovery,recoveryM2System,Cardiovascular System,,,
1,Recovery,recoveryM3Label,48 Hours,,,
1,Recovery,recoveryM3Title,The Pivot Point,,,
1,Recovery,recoveryM3System,Central Nervous System,,,
1,Recovery,recoveryM4Label,3 Days,,,
1,Recovery,recoveryM4Title,Clearing the System,,,
1,Recovery,recoveryM4System,Total Body,,,
1,Recovery,recoveryM5Label,1 Week,,,
1,Recovery,recoveryM5Title,Deepening Rest,,,
1,Recovery,recoveryM5System,Brain & Sleep Cycles,,,
1,Recovery,recoveryM6Label,2 Weeks,,,
1,Recovery,recoveryM6Title,Finding Balance,,,
1,Recovery,recoveryM6System,Energy & Digestion,,,
1,Recovery,recoveryM7Label,1 Month,,,
1,Recovery,recoveryM7Title,Meaningful Relief,,,
1,Recovery,recoveryM7System,Liver & Vital Organs,,,
1,Recovery,recoveryM8Label,3 Months,,,
1,Recovery,recoveryM8Title,Restoring Joy,,,
1,Recovery,recoveryM8System,Neurochemistry,,,
1,Recovery,recoveryM9Label,6 Months,,,
1,Recovery,recoveryM9Title,True Resilience,,,
1,Recovery,recoveryM9System,Nervous System,,,
1,Recovery,recoveryM10Label,1 Year,,,
1,Recovery,recoveryM10Title,A New Baseline,,,
1,Recovery,recoveryM10System,Whole Body,,,
1,Recovery,recoveryM11Label,2 Years & Beyond,,,
1,Recovery,recoveryM11Title,Lasting Vitality,,,
1,Recovery,recoveryM11System,Whole Body Renewal,,,
1,Emergency,emergencyHomeTitle,Calm Toolkit,,,
1,Emergency,emergencyHomeSubtitle,What do you need right now?,,,
1,Emergency,emergencyBreathingTitle,Breathing,,,
1,Emergency,emergencyMeditationTitle,Meditation,,,
1,Emergency,emergencyCBTTitle,CBT Guides,,,
1,Emergency,emergencyReasonsTitle,My Reasons,,,
1,Emergency,emergencyHALTTitle,HALT Check,,,
1,Emergency,emergencyUrgeTimerTitle,Urge Timer,,,
1,Emergency,emergencyPlayTapeTitle,Play the Tape,,,
1,Emergency,emergencyMindfulnessTitle,Mindfulness,,,
1,Breath,breathPatternBoxName,Box,,,
1,Breath,breathPatternBoxDesc,Equal sides — focus and calm,,,
1,Breath,breathPattern478Name,4-7-8,,,
1,Breath,breathPattern478Desc,Deep relaxation and sleep,,,
1,Breath,breathPatternCalmName,Calm,,,
1,Breath,breathPatternCalmDesc,Quick anxiety reset,,,
1,Breath,breathPatternPowerName,Power,,,
1,Breath,breathPatternPowerDesc,Energy and alertness,,,
1,Breath,breathPatternResetName,Reset,,,
1,Breath,breathPatternResetDesc,Instant stress relief,,,
1,Breath,breathPatternTriangleName,Triangle,,,
1,Breath,breathPatternTriangleDesc,Simple three-phase balance,,,
1,Breath,breathPatternAnchorName,Anchor,,,
1,Breath,breathPatternAnchorDesc,Grounding in difficult moments,,,
1,Breath,breathPatternRescueName,Rescue,,,
1,Breath,breathPatternRescueDesc,Panic and high anxiety,,,
1,Breath,breathPatternOceanName,Ocean,,,
1,Breath,breathPatternOceanDesc,Wave-like natural rhythm,,,
1,Breath,breathPatternMorningName,Morning,,,
1,Breath,breathPatternMorningDesc,Wake up and energise,,,
1,Breath,breathPatternCoherentName,Coherent,,,
1,Breath,breathPatternCoherentDesc,Heart-rate variability balance,,,
1,Breath,breathPattern628Name,6-2-8,,,
1,Breath,breathPattern628Desc,Deep parasympathetic activation,,,
1,Breath,breathPatternSquarePlusName,Square+,,,
1,Breath,breathPatternSquarePlusDesc,Extended box for deep calm,,,
1,Breath,breathPatternWarriorName,Warrior,,,
1,Breath,breathPatternWarriorDesc,Strength and determination,,,
1,Breath,breathPatternNightName,Night,,,
1,Breath,breathPatternNightDesc,Pre-sleep wind-down,,,
1,Breath,breathPhaseInhale,Inhale,,,
1,Breath,breathPhaseHold,Hold,,,
1,Breath,breathPhaseExhale,Exhale,,,
1,Breath,breathCycleCount,{count} cycles,{count},,
1,Cbt,cbtGuide0Title,Challenge the Thought,,,
1,Cbt,cbtGuide1Title,Surf the Urge,,,
1,Cbt,cbtGuide2Title,Cost-Benefit Check,,,
1,Cbt,cbtGuide3Title,Trigger Action Plan,,,
1,Cbt,cbtGuide4Title,Identity Shift,,,
1,Cbt,cbtGuide4Step0,Describe the person you are becoming.,,,
1,Cbt,cbtGuide4Step1,What values guide that person?,,,
1,Cbt,cbtGuide4Step3,"Write: ""I am someone who...""",,,
1,Halt,haltH,H,,,
1,Halt,haltHungry,Hungry,,,
1,Halt,haltA,A,,,
1,Halt,haltAngry,Angry,,,
1,Halt,haltL,L,,,
1,Halt,haltLonely,Lonely,,,
1,Halt,haltT,T,,,
1,Halt,haltTired,Tired,,,
1,Mindful0,mindful0Title,5-4-3-2-1,,,
1,Mindful1,mindful1Title,One Breath,,,
1,Mindful2,mindful2Title,Body Check,,,
1,Mindful3,mindful3Title,The Observer,,,
1,Mindful4,mindful4Title,Label It,,,
1,Mindful5,mindful5Title,Present Anchor,,,
1,Crisis,crisisTitle,Crisis Lines,,,
1,Crisis,crisisTooltipBack,Back,,,
1,Crisis,crisisEmergencyHeadline,In immediate danger? Call emergency services,,,
1,Crisis,crisisWithdrawalTitle,Alcohol withdrawal can be dangerous,,,
1,Crisis,crisisWithdrawalTapHint,Tap to see warning signs,,,
1,Crisis,crisisSectionHeader,CRISIS LINES,,,
1,Crisis,crisisTooltipCall,Call,,,
1,Crisis,crisisTooltipCopy,Copy,,,
1,Crisis,crisisWithdrawal0,Seizures or convulsions,,,
1,Crisis,crisisWithdrawal1,Hallucinations (seeing or hearing things),,,
1,Crisis,crisisWithdrawal2,Severe tremors (whole-body shaking),,,
1,Crisis,crisisWithdrawal3,Confusion or disorientation,,,
1,Crisis,crisisWithdrawal5,Rapid heart rate (above 100 bpm),,,
1,Crisis,crisisWithdrawal6,Extreme sweating or clamminess,,,
1,Settings,settingsTitle,Profile,,,
1,Settings,settingsYourName,Your name,,,
1,Settings,settingsNameHint,e.g. Alex,,,
1,Settings,settingsSavingsGoalDialogTitle,Savings goal,,,
1,Settings,settingsGoalNameHint,Goal name (e.g. Holiday),,,
1,Settings,settingsTargetAmountHint,Target amount,,,
1,Settings,settingsEmergencyContactDialogTitle,Emergency contact,,,
1,Settings,settingsContactNameHint,Name,,,
1,Settings,settingsContactPhoneHint,Phone number,,,
1,Settings,settingsSoberDateLabel,Sober date,,,
1,Settings,settingsDailySpendLabel,Daily spend,,,
1,Settings,settingsLockMethodLabel,App lock,,,
1,Settings,settingsNotificationsLabel,Notifications,,,
1,Settings,settingsPrivacyLabel,Privacy policy,,,
1,Settings,settingsBackupLabel,Backup & restore,,,
1,Settings,settingsHistoryLabel,Full history,,,
1,Settings,settingsInsightsLabel,Insights,,,
1,Settings,settingsGroupsLabel,Support groups,,,
1,Settings,settingsHeatmapLabel,Activity heatmap,,,
1,Settings,settingsWeeklyGoalsLabel,Weekly goals,,,
1,Settings,settingsMyReasonsLabel,My reasons,,,
1,Settings,settingsSavingsGoalLabel,Savings goal,,,
1,Settings,settingsEmergencyContactLabel,Emergency contact,,,
1,Settings,settingsChangePinLabel,Change PIN,,,
1,Groups,groupsTitle,Support Groups,,,
1,Groups,groupsVisitWebsite,Visit website,,,
1,Group,groupAaName,Alcoholics Anonymous,,,
1,Group,groupAaTagline,AA,,,
1,Group,groupAaApproach,12-step · Peer support · Spiritual,,,
1,Group,groupAaRegions,Worldwide · South Africa: aa.org.za,,,
1,Group,groupSmartName,SMART Recovery,,,
1,Group,groupSmartTagline,Self-Management & Recovery Training,,,
1,Group,groupSmartApproach,CBT-based · Evidence-based · Non-spiritual,,,
1,Group,groupSmartRegions,Worldwide · South Africa: smartrecovery.org.za,,,
1,Group,groupNaName,Narcotics Anonymous,,,
1,Group,groupNaTagline,NA,,,
1,Group,groupNaApproach,12-step · Peer support · Drug-focused,,,
1,Group,groupNaRegions,Worldwide,,,
1,History,historyTitle,History,,,
1,History,historyToday,Today,,,
1,History,historyYesterday,Yesterday,,,
1,History,historySearchHint,Search entries…,,,
1,History,historyFilterAll,All,,,
1,History,historyFilterJournal,Journal,,,
1,History,historyFilterGratitude,Gratitude,,,
1,History,historyFilterCravings,Cravings,,,
1,History,historyFilterThoughts,Thoughts,,,
1,History,historyFilterActivity,Activity,,,
1,History,historyFilterSleep,Sleep,,,
1,History,historyFilterSlips,Slips,,,
1,History,historyEmpty,No entries yet,,,
1,History,historyMoodGreat,Great,,,
1,History,historyMoodGood,Good,,,
1,History,historyMoodOkay,Okay,,,
1,History,historyMoodHard,Hard day,,,
1,History,historyMoodCrisis,Crisis,,,
1,Puzzle,puzzleTitle,Calm Activities,,,
1,Puzzle,puzzleActivity0Label,Slow Count,,,
1,Puzzle,puzzleActivity0Duration,2 – 5 min,,,
1,Puzzle,puzzleActivity1Label,Gratitude Shuffle,,,
1,Puzzle,puzzleActivity1Duration,2 min,,,
1,Puzzle,puzzleActivity2Label,Memory Match,,,
1,Puzzle,puzzleActivity2Duration,5 min,,,
1,Puzzle,puzzleActivity3Label,Strength Compass,,,
1,Puzzle,puzzleActivity3Duration,3 min,,,
1,Puzzle,puzzleActivity4Label,Now Moment,,,
1,Puzzle,puzzleActivity4Duration,1 min,,,
1,Cbt,cbtScreenTitle,Thought Reframe,,,
1,Cbt,cbtStepIndicator,Step {step} of 4,{step},,
1,Cbt,cbtStep0Title,What's the thought?,,,
1,Cbt,cbtStep1Title,Spot the pattern,,,
1,Cbt,cbtDistortionAllOrNothing,All-or-nothing thinking,,,
1,Cbt,cbtDistortionCatastrophising,Catastrophising,,,
1,Cbt,cbtDistortionCatastrophisingExample,"""This will ruin everything forever.""",,,
1,Cbt,cbtDistortionMindReading,Mind reading,,,
1,Cbt,cbtDistortionMindReadingExample,"""Everyone must think I'm weak.""",,,
1,Cbt,cbtDistortionEmotionalReasoning,Emotional reasoning,,,
1,Cbt,cbtDistortionShouldStatements,Should statements,,,
1,Cbt,cbtDistortionPersonalisation,Personalisation,,,
